LINKTEXT,FILELINK
"UK accelerates vaccine rollout as end of lockdown in sight
",https://www.dawn.com/news/1564901/uk-accelerates-vaccine-rollout-as-end-of-lockdown-in-sight
"Multan Sultans 28-1 after 5 overs in PSL clash with Islamabad United
",https://www.dawn.com/news/1608601/multan-sultans-28-1-after-5-overs-in-psl-clash-with-islamabad-united
"Protesters vandalise Geo and Jang head office in Karachi, manhandle staff
",https://www.dawn.com/news/1608600/protesters-vandalise-geo-and-jang-head-office-in-karachi-manhandle-staff
"Clifton’s iconic Agha’s Supermarket shuts doors permanently
",https://www.dawn.com/news/1608459/cliftons-iconic-aghas-supermarket-shuts-doors-permanently
"'They have been exposed': Maryam alleges govt failed in rigging NA-75 by-polls
",https://www.dawn.com/news/1608589/they-have-been-exposed-maryam-alleges-govt-failed-in-rigging-na-75-by-polls
"Lahore Qalandars open PSL 6 campaign with 4-wicket win over Peshawar Zalmi
",https://www.dawn.com/news/1608588/lahore-qalandars-open-psl-6-campaign-with-4-wicket-win-over-peshawar-zalmi
"Pakistan optimistic about exiting FATF grey list
",https://www.dawn.com/news/1608488/pakistan-optimistic-about-exiting-fatf-grey-list
"Fire erupts at polling station during by-election in Tharparkar's NA-221 constituency
",https://www.dawn.com/news/1608591/fire-erupts-at-polling-station-during-by-election-in-tharparkars-na-221-constituency
"Isa hopes SC will stand against constitutional violations
",https://www.dawn.com/news/1608487/isa-hopes-sc-will-stand-against-constitutional-violations
"Pakistan to get 5.6m more vaccine doses by end of March
",https://www.dawn.com/news/1608567/pakistan-to-get-56m-more-vaccine-doses-by-end-of-march
"Khattak’s brother expelled from cabinet after PTI’s Nowshera by-poll defeat
",https://www.dawn.com/news/1608564/khattaks-brother-expelled-from-cabinet-after-ptis-nowshera-by-poll-defeat
